#SampleID	bla
3930P7-001-20-01	a
3930P7-002-20-01	a
3930P7-004-20-01	a
3930P7-006-20-01	a
3930P7-008-20-01	a
3930P7-009-20-01	a
3930P7-010-20-01	a
3930P7-013-20-01	a
3930P7-014-20-01	a
3930P7-017-20-01	a
3930P7-018-20-01	a
3930P7-020-20-01	a
3930P7-021-20-01	b
3930P7-023-20-01	b
3930P7-025-20-01	b
3930P7-026-20-01	b
3930P7-027-20-01	a
3930P7-028-20-01	a
3930P7-029-20-01	a
3930P7-032-20-01	a
3930P7-036-20-01	a
3930P7-038-20-01	a
3930P7-040-20-01	a
3930P7-041-20-01	a
3930P7-043-20-01	a
3930P7-045-20-01	a
3930P7-046-20-01	a
3930P7-049-20-01	a
3930P7-051-20-01	a
3930P7-053-20-01	a
3930P7-054-20-01	a
3930P7-055-20-01	a
3930P7-056-20-01	a
3930P7-057-20-01	a
3930P7-058-20-01	a
3930P7-061-20-01	a
3930P7-063-20-01	a
3930P7-064-20-01	a
3930P7-065-20-01	a
3930P7-066-20-01	a
3930P7-067-20-01	a
3930P7-068-20-01	a
3930P7-069-20-01	a
3930P7-070-20-01	a
3930P7-072-20-01	a
3930P7-073-20-01	a
3930P7-075-20-01	a
3930P7-076-20-01	a
3930P7-077-20-01	a
3930P7-080-20-01	a
3930P7-081-20-01	a
3930P7-082-20-01	a
3930P7-083-20-01	a
3930P7-084-20-01	a
3930P7-085-20-01	a
3930P7-086-20-01	a
3930P7-087-20-01	a
3930P7-088-20-01	a
3930P7-089-20-01	a
3930P7-091-20-01	a
3930P7-092-20-01	a
3930P7-094-20-01	a
3930P7-095-20-01	a
3930P7-096-20-01	a
3930P7-098-20-01	a
3930P7-099-20-01	a
3930P7-100-20-01	a
3930P7-102-20-01	a
3930P7-103-20-01	a
3930P7-104-20-01	a
3930P7-105-20-01	a
3930P7-106-20-01	a
3930P7-107-20-01	a
3930P7-108-20-01	a
3930P7-109-20-01	a
3930P7-111-20-01	a
3930P7-112-20-01	a
3930P7-113-20-01	a
3930P7-115-20-01	a
